router
# node	city	y	x	mpi-partition
Node0	NA	0	0	0
Node1	NA	1	1	1
Node2	NA	2	2	2
Node3	NA	3	3	3
Node4	NA	4	4	4
Node5	NA	5	5	0
Node6	NA	6	6	1
Node7	NA	7	7	2
Node8	NA	8	8	3
Node9	NA	9	9	4
Node10	NA	10	10	0
Node11	NA	11	11	1
Node12	NA	12	12	2
Node13	NA	13	13	3
Node14	NA	14	14	4
Node15	NA	15	15	0
Node16	NA	16	16	1
Node17	NA	17	17	2
Node18	NA	18	18	3
Node19	NA	19	19	4
Node20	NA	20	20	0
Node21	NA	21	21	1
Node22	NA	22	22	2
Node23	NA	23	23	3
Node24	NA	24	24	4
Node25	NA	25	25	0
Node26	NA	26	26	1
Node27	NA	27	27	2
Node28	NA	28	28	3
Node29	NA	29	29	4
Node30	NA	30	30	0
Node31	NA	31	31	1

link
# from	to	capacity	metric	delay	queue
Node0	Node1	100Mbps		1	1ms	100
Node1	Node2	100Mbps		1	1ms	100
Node1	Node3	100Mbps		1	1ms	100
Node1	Node4	100Mbps		1	1ms	50
Node1	Node5	100Mbps		1	1ms	50
Node1	Node6	100Mbps		1	1ms	50
Node1	Node7	100Mbps		1	1ms	50
Node1	Node8	100Mbps		1	1ms	25
Node1	Node9	100Mbps		1	1ms	25
Node1	Node10	100Mbps		1	1ms	25
Node1	Node11	100Mbps		1	1ms	25
Node1	Node12	100Mbps		1	1ms	25
Node1	Node13	100Mbps		1	1ms	25
Node1	Node14	100Mbps		1	1ms	25
Node1	Node15	100Mbps		1	1ms	25
Node1	Node16	100Mbps		1	1ms	12
Node1	Node17	100Mbps		1	1ms	12
Node1	Node18	100Mbps		1	1ms	12
Node1	Node19	100Mbps		1	1ms	12
Node1	Node20	100Mbps		1	1ms	12
Node1	Node21	100Mbps		1	1ms	12
Node1	Node22	100Mbps		1	1ms	12
Node1	Node23	100Mbps		1	1ms	12
Node1	Node24	100Mbps		1	1ms	12
Node1	Node25	100Mbps		1	1ms	12
Node1	Node26	100Mbps		1	1ms	12
Node1	Node27	100Mbps		1	1ms	12
Node1	Node28	100Mbps		1	1ms	12
Node1	Node29	100Mbps		1	1ms	12
Node1	Node30	100Mbps		1	1ms	12
Node1	Node31	100Mbps		1	1ms	12
Node2	Node3	100Mbps		1	1ms	50
Node2	Node4	100Mbps		1	1ms	100
Node2	Node5	100Mbps		1	1ms	100
Node2	Node6	100Mbps		1	1ms	25
Node2	Node7	100Mbps		1	1ms	25
Node2	Node8	100Mbps		1	1ms	50
Node2	Node9	100Mbps		1	1ms	50
Node2	Node10	100Mbps		1	1ms	50
Node2	Node11	100Mbps		1	1ms	50
Node2	Node12	100Mbps		1	1ms	12
Node2	Node13	100Mbps		1	1ms	12
Node2	Node14	100Mbps		1	1ms	12
Node2	Node15	100Mbps		1	1ms	12
Node2	Node16	100Mbps		1	1ms	25
Node2	Node17	100Mbps		1	1ms	25
Node2	Node18	100Mbps		1	1ms	25
Node2	Node19	100Mbps		1	1ms	25
Node2	Node20	100Mbps		1	1ms	25
Node2	Node21	100Mbps		1	1ms	25
Node2	Node22	100Mbps		1	1ms	25
Node2	Node23	100Mbps		1	1ms	25
Node2	Node24	100Mbps		1	1ms	6
Node2	Node25	100Mbps		1	1ms	6
Node2	Node26	100Mbps		1	1ms	6
Node2	Node27	100Mbps		1	1ms	6
Node2	Node28	100Mbps		1	1ms	6
Node2	Node29	100Mbps		1	1ms	6
Node2	Node30	100Mbps		1	1ms	6
Node2	Node31	100Mbps		1	1ms	6
Node3	Node4	100Mbps		1	1ms	25
Node3	Node5	100Mbps		1	1ms	25
Node3	Node6	100Mbps		1	1ms	100
Node3	Node7	100Mbps		1	1ms	100
Node3	Node8	100Mbps		1	1ms	12
Node3	Node9	100Mbps		1	1ms	12
Node3	Node10	100Mbps		1	1ms	12
Node3	Node11	100Mbps		1	1ms	12
Node3	Node12	100Mbps		1	1ms	50
Node3	Node13	100Mbps		1	1ms	50
Node3	Node14	100Mbps		1	1ms	50
Node3	Node15	100Mbps		1	1ms	50
Node3	Node16	100Mbps		1	1ms	6
Node3	Node17	100Mbps		1	1ms	6
Node3	Node18	100Mbps		1	1ms	6
Node3	Node19	100Mbps		1	1ms	6
Node3	Node20	100Mbps		1	1ms	6
Node3	Node21	100Mbps		1	1ms	6
Node3	Node22	100Mbps		1	1ms	6
Node3	Node23	100Mbps		1	1ms	6
Node3	Node24	100Mbps		1	1ms	25
Node3	Node25	100Mbps		1	1ms	25
Node3	Node26	100Mbps		1	1ms	25
Node3	Node27	100Mbps		1	1ms	25
Node3	Node28	100Mbps		1	1ms	25
Node3	Node29	100Mbps		1	1ms	25
Node3	Node30	100Mbps		1	1ms	25
Node3	Node31	100Mbps		1	1ms	25
Node4	Node5	100Mbps		1	1ms	50
Node4	Node6	100Mbps		1	1ms	12
Node4	Node7	100Mbps		1	1ms	12
Node4	Node8	100Mbps		1	1ms	100
Node4	Node9	100Mbps		1	1ms	100
Node4	Node10	100Mbps		1	1ms	25
Node4	Node11	100Mbps		1	1ms	25
Node4	Node12	100Mbps		1	1ms	6
Node4	Node13	100Mbps		1	1ms	6
Node4	Node14	100Mbps		1	1ms	6
Node4	Node15	100Mbps		1	1ms	6
Node4	Node16	100Mbps		1	1ms	50
Node4	Node17	100Mbps		1	1ms	50
Node4	Node18	100Mbps		1	1ms	50
Node4	Node19	100Mbps		1	1ms	50
Node4	Node20	100Mbps		1	1ms	12
Node4	Node21	100Mbps		1	1ms	12
Node4	Node22	100Mbps		1	1ms	12
Node4	Node23	100Mbps		1	1ms	12
Node4	Node24	100Mbps		1	1ms	3
Node4	Node25	100Mbps		1	1ms	3
